,abs_deviation,count,rank,year
0,4,22,113,1900
1,-4,18,114,1901
2,0,25,111,1902
3,14,43,99,1903
4,-6,29,106,1904
5,17,52,95,1905
6,0,35,103,1906
7,-23,12,116,1907
8,11,41,100,1908
9,0,30,105,1909
10,-8,27,108,1910
11,9,44,98,1911
12,-5,35,104,1912
13,0,40,102,1913
14,6,41,101,1914
15,-4,24,112,1915
16,-1,26,110,1916
17,1,28,107,1917
18,-1,27,109,1918
19,6,51,96,1919
20,-6,45,97,1920
21,22,80,86,1921
22,0,58,92,1922
23,0,65,90,1923
24,-2,57,93,1924
25,1,66,89,1925
26,-7,59,91,1926
27,5,90,81,1927
28,-5,85,83,1928
29,0,98,78,1929
30,0,99,77,1930
31,11,110,74,1931
32,0,103,76,1932
33,-36,73,88,1933
34,0,109,75,1934
35,12,145,70,1935
36,14,147,69,1936
37,0,133,71,1937
38,0,117,73,1938
39,-3,94,80,1939
40,3,97,79,1940
41,-31,54,94,1941
42,0,85,84,1942
43,-3,82,85,1943
44,0,89,82,1944
45,0,125,72,1945
46,0,154,68,1946
47,0,155,67,1947
48,0,269,65,1948
49,38,310,62,1949
50,71,381,61,1950
51,-109,272,64,1951
52,22,421,58,1952
53,43,464,56,1953
54,-34,399,59,1954
55,-31,433,57,1955
56,0,502,54,1956
57,54,590,48,1957
58,0,536,50,1958
59,30,620,47,1959
60,-99,521,52,1960
61,0,747,43,1961
62,28,775,39,1962
63,34,809,35,1963
64,-215,587,49,1964
65,103,905,28,1965
66,29,802,37,1966
67,0,773,40,1967
68,-19,754,42,1968
69,-42,731,45,1969
70,289,1043,14,1970
71,0,773,41,1971
72,-200,676,46,1972
73,0,876,31,1973
74,92,968,21,1974
75,9,907,27,1975
76,-34,864,32,1976
77,16,898,29,1977
78,0,882,30,1978
79,-52,846,33,1979
80,315,1341,1,1980
81,0,1099,11,1981
82,-183,1026,18,1982
83,110,1209,8,1983
84,179,1222,4,1984
85,-106,937,26,1985
86,6,1043,15,1986
87,-74,963,22,1987
88,0,1037,16,1988
89,257,1220,5,1989
90,-94,943,24,1990
91,-166,940,25,1991
92,0,1106,10,1992
93,113,1219,6,1993
94,0,1214,7,1994
95,-122,1092,12,1995
96,152,1244,3,1996
97,-132,960,23,1997
98,-157,1031,17,1998
99,243,1296,2,1999
100,135,1188,9,2000
101,0,1053,13,2001
102,0,1008,19,2002
103,0,990,20,2003
104,0,841,34,2004
105,-7,801,38,2005
106,-60,741,44,2006
107,67,808,36,2007
108,0,523,51,2008
109,0,513,53,2009
110,0,470,55,2010
111,0,386,60,2011
112,0,305,63,2012
113,0,222,66,2013
114,0,78,87,2014
115,0,13,115,2015
