,CPY,RPY,abs_deviation,num_cites,rank
0,1956,1900,1,2,97
1,1956,1901,0,1,16
2,1956,1902,0,1,17
3,1956,1903,1,2,98
4,1956,1904,-1,0,9
5,1956,1905,1,2,99
6,1956,1906,0,1,18
7,1956,1907,0,1,19
8,1956,1908,1,2,100
9,1956,1909,-1,0,10
10,1956,1910,0,1,20
11,1956,1911,1,2,101
12,1956,1912,-2,0,5
13,1956,1913,0,2,21
14,1956,1914,2,2,110
15,1956,1915,0,0,22
16,1956,1916,0,0,23
17,1956,1917,0,0,24
18,1956,1918,0,0,25
19,1956,1919,0,1,26
20,1956,1920,1,2,102
21,1956,1921,0,1,27
22,1956,1922,1,2,103
23,1956,1923,0,1,28
24,1956,1924,0,1,29
25,1956,1925,-1,0,11
26,1956,1926,1,2,104
27,1956,1927,1,3,105
28,1956,1928,-2,1,6
29,1956,1929,0,3,30
30,1956,1930,2,4,111
31,1956,1931,-1,2,12
32,1956,1932,-1,1,13
33,1956,1933,1,3,106
34,1956,1934,-2,1,7
35,1956,1935,0,3,31
36,1956,1936,1,7,107
37,1956,1937,1,7,108
38,1956,1938,0,6,32
39,1956,1939,0,4,33
40,1956,1940,-1,3,14
41,1956,1941,-3,0,3
42,1956,1942,4,6,113
43,1956,1943,-1,1,15
44,1956,1944,-4,2,2
45,1956,1945,0,6,34
46,1956,1946,5,14,115
47,1956,1947,-5,9,1
48,1956,1948,4,18,114
49,1956,1949,2,19,112
50,1956,1950,-3,14,4
51,1956,1951,0,17,35
52,1956,1952,-2,15,8
53,1956,1953,0,23,36
54,1956,1954,22,45,117
55,1956,1955,11,34,116
56,1956,1956,0,8,37
57,1956,1957,0,0,38
58,1956,1958,0,0,39
59,1956,1959,0,0,40
60,1956,1960,0,0,41
61,1956,1961,0,0,42
62,1956,1962,0,0,43
63,1956,1963,0,0,44
64,1956,1964,0,0,45
65,1956,1965,0,0,46
66,1956,1966,0,0,47
67,1956,1967,0,0,48
68,1956,1968,0,0,49
69,1956,1969,0,0,50
70,1956,1970,0,0,51
71,1956,1971,0,0,52
72,1956,1972,0,0,53
73,1956,1973,0,0,54
74,1956,1974,0,0,55
75,1956,1975,0,0,56
76,1956,1976,0,0,57
77,1956,1977,0,0,58
78,1956,1978,0,0,59
79,1956,1979,0,0,60
80,1956,1980,0,0,61
81,1956,1981,0,0,62
82,1956,1982,0,0,63
83,1956,1983,0,0,64
84,1956,1984,1,1,109
85,1956,1985,0,0,65
86,1956,1986,0,0,66
87,1956,1987,0,0,67
88,1956,1988,0,0,68
89,1956,1989,0,0,69
90,1956,1990,0,0,70
91,1956,1991,0,0,71
92,1956,1992,0,0,72
93,1956,1993,0,0,73
94,1956,1994,0,0,74
95,1956,1995,0,0,75
96,1956,1996,0,0,76
97,1956,1997,0,0,77
98,1956,1998,0,0,78
99,1956,1999,0,0,79
100,1956,2000,0,0,80
101,1956,2001,0,0,81
102,1956,2002,0,0,82
103,1956,2003,0,0,83
104,1956,2004,0,0,84
105,1956,2005,0,0,85
106,1956,2006,0,0,86
107,1956,2007,0,0,87
108,1956,2008,0,0,88
109,1956,2009,0,0,89
110,1956,2010,0,0,90
111,1956,2011,0,0,91
112,1956,2012,0,0,92
113,1956,2013,0,0,93
114,1956,2014,0,0,94
115,1956,2015,0,0,95
116,1956,2016,0,0,96
117,1957,1900,0,0,17
118,1957,1901,1,1,96
119,1957,1902,0,0,18
120,1957,1903,0,1,19
121,1957,1904,0,0,20
122,1957,1905,1,1,97
123,1957,1906,0,0,21
124,1957,1907,-1,0,11
125,1957,1908,1,2,98
126,1957,1909,1,3,99
127,1957,1910,-1,1,12
128,1957,1911,-1,2,13
129,1957,1912,0,3,22
130,1957,1913,0,3,23
131,1957,1914,1,4,100
132,1957,1915,-2,1,9
133,1957,1916,0,3,24
134,1957,1917,-3,0,6
135,1957,1918,0,3,25
136,1957,1919,3,4,109
137,1957,1920,0,1,26
138,1957,1921,0,1,27
139,1957,1922,0,1,28
140,1957,1923,1,2,101
141,1957,1924,5,7,112
142,1957,1925,-4,1,3
143,1957,1926,0,5,29
144,1957,1927,2,7,107
145,1957,1928,0,5,30
146,1957,1929,1,6,102
147,1957,1930,-4,1,4
148,1957,1931,-1,3,14
149,1957,1932,2,6,108
150,1957,1933,0,4,31
151,1957,1934,0,6,32
152,1957,1935,-3,3,7
153,1957,1936,5,11,113
154,1957,1937,3,7,110
155,1957,1938,-2,3,10
156,1957,1939,-1,4,15
157,1957,1940,1,5,103
158,1957,1941,1,6,104
159,1957,1942,-3,2,8
160,1957,1943,0,5,33
161,1957,1944,3,8,111
162,1957,1945,-4,4,5
163,1957,1946,0,8,34
164,1957,1947,1,15,105
165,1957,1948,-1,14,16
166,1957,1949,5,20,114
167,1957,1950,0,16,35
168,1957,1951,-7,13,1
169,1957,1952,6,28,115
170,1957,1953,1,29,106
171,1957,1954,-7,22,2
172,1957,1955,9,38,116
173,1957,1956,11,33,117
174,1957,1957,0,5,36
175,1957,1958,0,0,37
176,1957,1959,0,0,38
177,1957,1960,0,0,39
178,1957,1961,0,0,40
179,1957,1962,0,0,41
180,1957,1963,0,0,42
181,1957,1964,0,0,43
182,1957,1965,0,0,44
183,1957,1966,0,0,45
184,1957,1967,0,0,46
185,1957,1968,0,0,47
186,1957,1969,0,0,48
187,1957,1970,0,0,49
188,1957,1971,0,0,50
189,1957,1972,0,0,51
190,1957,1973,0,0,52
191,1957,1974,0,0,53
192,1957,1975,0,0,54
193,1957,1976,0,0,55
194,1957,1977,0,0,56
195,1957,1978,0,0,57
196,1957,1979,0,0,58
197,1957,1980,0,0,59
198,1957,1981,0,0,60
199,1957,1982,0,0,61
200,1957,1983,0,0,62
201,1957,1984,0,0,63
202,1957,1985,0,0,64
203,1957,1986,0,0,65
204,1957,1987,0,0,66
205,1957,1988,0,0,67
206,1957,1989,0,0,68
207,1957,1990,0,0,69
208,1957,1991,0,0,70
209,1957,1992,0,0,71
210,1957,1993,0,0,72
211,1957,1994,0,0,73
212,1957,1995,0,0,74
213,1957,1996,0,0,75
214,1957,1997,0,0,76
215,1957,1998,0,0,77
216,1957,1999,0,0,78
217,1957,2000,0,0,79
218,1957,2001,0,0,80
219,1957,2002,0,0,81
220,1957,2003,0,0,82
221,1957,2004,0,0,83
222,1957,2005,0,0,84
223,1957,2006,0,0,85
224,1957,2007,0,0,86
225,1957,2008,0,0,87
226,1957,2009,0,0,88
227,1957,2010,0,0,89
228,1957,2011,0,0,90
229,1957,2012,0,0,91
230,1957,2013,0,0,92
231,1957,2014,0,0,93
232,1957,2015,0,0,94
233,1957,2016,0,0,95
234,1958,1900,0,1,20
235,1958,1901,0,0,21
236,1958,1902,0,1,22
237,1958,1903,-1,0,10
238,1958,1904,0,2,23
239,1958,1905,3,5,110
240,1958,1906,4,6,113
241,1958,1907,0,1,24
242,1958,1908,0,1,25
243,1958,1909,-1,0,11
244,1958,1910,1,2,98
245,1958,1911,-1,0,12
246,1958,1912,-1,1,13
247,1958,1913,1,2,99
248,1958,1914,2,3,106
249,1958,1915,-2,0,6
250,1958,1916,-2,0,7
251,1958,1917,5,5,115
252,1958,1918,0,2,26
253,1958,1919,-3,0,3
254,1958,1920,3,5,111
255,1958,1921,1,3,100
256,1958,1922,0,2,27
257,1958,1923,0,1,28
258,1958,1924,0,1,29
259,1958,1925,0,1,30
260,1958,1926,0,1,31
261,1958,1927,-1,0,14
262,1958,1928,3,4,112
263,1958,1929,0,4,32
264,1958,1930,-3,1,4
265,1958,1931,1,5,101
