"From","To","weight"
"Hesse M","Shimony A",1
"Hesse M","Hacking I",1
"Hesse M","Skyrms B",2
"Hesse M","Achinstein P",1
"Christensen D","Waters Ck",1
"Christensen D","Earman J",5
"Christensen D","Edidin A",6
"Christensen D","Lloyd Ea",1
"Christensen D","Gardner Mr",1
"Christensen D","Christensen D",2
"Christensen D","Simon Ha",1
"Christensen D","Glymour C",9
"Christensen D","Zytkow Jm",8
"Hull Dl","Kitts Db",9
"Hull Dl","Glymour B",1
"Hull Dl","Darden L",1
"Hull Dl","Couch Mb",1
"Hull Dl","Kitcher P",23
"Hull Dl","Hull Dl",6
"Hull Dl","Millstein Rl",2
"Hull Dl","Devitt M",2
"Hull Dl","Ereshefsky M",14
"Hull Dl","Griffiths Pe",1
"Hull Dl","Khalidi Ma",1
"Hull Dl","Brandon Rn",1
"Hull Dl","Goosens Wk",2
"Hull Dl","Kent W",1
"Hull Dl","Amundson R",1
"Hull Dl","Griesemer J",1
"Hull Dl","Potochnik A",1
"Hull Dl","Lehman H",4
"Hull Dl","Gannett L",1
"Hull Dl","Vanfraasbc",1
"Hull Dl","Boyd R",1
"Hull Dl","Okasha S",1
"Hull Dl","Schaffner Kf",4
"Hull Dl","Sober E",26
"Hull Dl","Cocchiarella N",2
"Hull Dl","Bouchard F",1
"Hull Dl","Solomon M",1
"Hull Dl","Shapiro La",1
"Hull Dl","Stanford Pk",4
"Hull Dl","Rosenberg A",1
"Hull Dl","Caplan Al",6
"Hull Dl","Earman J",3
"Hull Dl","Beatty J",2
"Hull Dl","Richardson Rc",2
"Hull Dl","Holsinger Ke",2
"Hull Dl","Cooper G",1
"Hull Dl","Glennan S",1
"Hull Dl","Munson R",1
"Hull Dl","Splitter Lj",2
"Hull Dl","Machamer P",1
"Hull Dl","Bechtel W",2
"Shrader-Frechette K","Giere Rn",1
"Shrader-Frechette K","Jeffrey Rc",1
"Shrader-Frechette K","Douglas H",1
"Ereshefsky M","Kitts Db",2
"Ereshefsky M","Neander K",1
"Ereshefsky M","Kitcher P",20
"Ereshefsky M","Devitt M",2
"Ereshefsky M","Ereshefsky M",8
"Ereshefsky M","Khalidi Ma",2
"Ereshefsky M","Bouchard F",1
"Ereshefsky M","Griesemer J",1
"Ereshefsky M","Haug Mc",1
"Ereshefsky M","Coleman Ka",2
"Ereshefsky M","Okasha S",1
"Ereshefsky M","Sober E",11
"Ereshefsky M","Cocchiarella N",2
"Ereshefsky M","Potochnik A",1
"Ereshefsky M","Stanford Pk",10
"Ereshefsky M","Caplan Al",1
"Ereshefsky M","Boyd R",1
"Ereshefsky M","Holsinger Ke",1
"Ereshefsky M","Stephens C",1
"Ereshefsky M","Millikan Rg",1
"Ereshefsky M","Slater Mh",1
"Ereshefsky M","Beatty J",1
"Ereshefsky M","Walsh Dm",1
"Jantzen B","Griffiths Pe",1
"Jantzen B","Jablonka E",1
"Jantzen B","Stegmann Ue",1
"Jantzen B","Godfrey-Smith P",1
"Lenhard J","Humphreys P",2
"Lenhard J","Winsberg E",4
"Lenhard J","Parker Ws",2
"Lenhard J","Lenhard J",2
"Horwich P","Giere Rn",1
"Horwich P","Jeffrey Rc",1
"Horwich P","Kourany Ja",1
"Horwich P","Graves Pr",1
"Horwich P","Levi I",1
"Horwich P","Douglas H",1
"Newman Dv","Wimsatt Wc",1
"Newman Dv","Temple D",1
"Newman Dv","Humphreys P",2
"Newman Dv","Lipton P",1
"Newman Dv","Mormann T",1
"Newman Dv","Klee Rl",1
"Newman Dv","Horan Bl",1
"Zaret D","Earman J",1
"Agassi J","Achinstein P",1
"Lehman H","Koertge N",1
"Lehman H","Ayala Fj",1
"Lehman H","Sober E",4
"Lehman H","Lehman H",1
"Lehman H","Kitcher P",4
"Lehman H","Salmon Wc",2
"Erlichsoh","Laymon R",1
"Otte R","Eells E",7
"Otte R","Dupre J",1
"Otte R","Hesslow G",1
"Rohrlich F","Norton J",1
"Rohrlich F","Malament Db",1
"Rohrlich F","Rohrlich F",1
"Rohrlich F","Schaffner Kf",2
"Cushing Jt","Laudan L",1
"Edidin A","Waters Ck",2
"Edidin A","Earman J",3
"Edidin A","Edidin A",1
"Edidin A","Lloyd Ea",1
"Edidin A","Gardner Mr",1
"Edidin A","Glymour C",6
"Edidin A","Zytkow Jm",4
"Domotor Z","Garber D",1
"Domotor Z","Field H",1
"Domotor Z","Doring F",1
"Ishida Y","Northcott R",1
"Ishida Y","Matthen M",2
"Ishida Y","Reisman K",1
"Ishida Y","Walsh Dm",1
"Enc B","Saidel E",1
"Enc B","Porpora Dv",1
"Enc B","Ringen J",1
"Enc B","Owens J",1
"Enc B","Ringen Jd",1
"Enc B","Millikan Rg",2
"Enc B","Ruse Me",1
"Enc B","Wright L",1
"Enc B","Wilson Ra",1
"Enc B","Waters Ck",1
"Enc B","Butler K",1
"Godfreysmith P","Walton D",1
"Godfreysmith P","Waters Ck",5
"Godfreysmith P","Darden L",1
"Godfreysmith P","Lloyd Ea",2
"Godfreysmith P","Sober E",5
"Godfreysmith P","Cassidy J",1
"Godfreysmith P","Wilson Ra",2
"Godfreysmith P","Mayo Dg",1
"Godfreysmith P","Brandon Rn",1
"Godfreysmith P","Sterelny K",1
"Godfreysmith P","Griesemer J",1
"Godfreysmith P","Glennan S",1
"Godfreysmith P","Mitchell Sd",1
"Godfreysmith P","Walsh Dm",1
"Vanderburgh Wl","Harper W",1
"Kim S","Couch Mb",2
"Kim S","Schaffner Kf",1
"Kim S","Richardson Rc",2
"Kim S","Sober E",1
"Kim S","Keeley Bl",1
"Kim S","Bechtel W",4
"Urbach P","Spanos A",1
"Urbach P","Mayo O",1
"Urbach P","Staley Kw",1
"Steinberd","Nickles T",1
"Steinberd","Hempel Cg",1
"Hoefer C","Skyrms B",1
"Hoefer C","Sklar L",3
"Hoefer C","Sober E",1
"Hoefer C","Strevens M",1
"Hoefer C","Norton Jd",1
"Hoefer C","Kitcher P",1
"Hoefer C","Potochnik A",2
"Hoefer C","Laudan L",2
"Hoefer C","Teller P",1
"Hoefer C","Weisberg M",1
"Hoefer C","Mcallister Jw",1
"Hoefer C","Bovens L",1
"Hoefer C","Fitelson B",1
"Allen C","Neander K",1
"Allen C","Millikan Rg",1
"Allen C","Boorse C",1
"Couch Mb","Keeley Bl",1
"Couch Mb","Schaffner Kf",1
"Couch Mb","Richardson Rc",3
"Couch Mb","Sober E",2
"Couch Mb","Shapiro La",1
"Couch Mb","Bechtel W",4
"Ayala Fj","Rosenberg A",1
"Ayala Fj","Wright L",1
"Ayala Fj","Ruse M",2
"Ayala Fj","Sterelny K",1
"Ayala Fj","Ruse Me",2
"Ayala Fj","Amundson R",1
"Ayala Fj","Munson R",2
"Frisch M","Giere Rn",1
"Frisch M","Grunbaum A",1
"Frisch M","Pincock C",1
"Frisch M","Muller Fa",1
"Hattiangjn","Barrett R",1
"Hattiangjn","Schefflei",1
"Hattiangjn","Kordig Cr",1
"Hattiangjn","Brodbeck M",1
"Hattiangjn","Hanna Jf",1
"Lacey H","Giere Rn",1
"Lacey H","Jeffrey Rc",1
"Lacey H","Steel D",3
"Lacey H","Kourany Ja",2
"Lacey H","Magnus Pd",1
"Lacey H","Intemann K",2
"Lacey H","Elliott Kc",4
"Lacey H","Brown Mj",1
"Lacey H","Douglas H",3
"Lacey H","Wray Kb",1
"Huggett N","Ruetsche L",3
"Huggett N","Teller P",1
"Huggett N","Huggett N",1
"Huggett N","Arageorgis A",1
"Andreasen Ro","Pigliucci M",1
"Andreasen Ro","Sober E",1
"Rosenbera","Wilks Y",1
"Mills Sk","Glymour B",1
"Mills Sk","Waters Ck",2
"Mills Sk","Neander K",2
"Mills Sk","Dretske Fi",1
"Mills Sk","Reisman K",2
"Mills Sk","Horan Bl",3
"Mills Sk","Woodward J",1
"Mills Sk","Brandon Rn",4
"Mills Sk","Millstein Rl",2
"Mills Sk","Griffiths Pe",1
