"ID","betweenness","info","count","community"
"Wachbroit R",0.0,"Wachbroit R",1,0
"Dennett Dc",0.0,"Dennett Dc",1,1
"Berent P",0.0,"Berent P",1,2
"Bishop Ma",0.0,"Bishop Ma",2,3
"Bunge M",0.002,"Bunge M",9,4
"Rothbart D",0.0,"Rothbart D",1,5
"Lugg A",0.002,"Lugg A",3,1
"Crupi V",0.0,"Crupi V",9,6
"Barnes E",0.0,"Barnes E",3,7
"Forge J",0.0,"Forge J",2,8
"Pinnick Cl",0.0,"Pinnick Cl",3,9
"Faber Rj",0.0,"Faber Rj",1,123
"Huttegger Sm",0.0,"Huttegger Sm",5,6
"Swanson Jw",0.0,"Swanson Jw",1,10
"Richardson Rc",0.001,"Richardson Rc",18,11
"Gaa J",0.0,"Gaa J",2,9
"Shelley C",0.0,"Shelley C",1,12
"Needham R",0.0,"Needham R",3,13
"Helgeson C",0.0,"Helgeson C",1,0
"Morgan Ms",0.0,"Morgan Ms",2,14
"Beard Rw",0.0,"Beard Rw",1,15
"Foss J",0.004,"Foss J",5,16
"Zabell Sl",0.0,"Zabell Sl",2,6
"Hale Sc",0.0,"Hale Sc",1,17
"Staley Kw",0.01,"Staley Kw",9,3
"Redei M",0.0,"Redei M",2,18
"Wilson Ra",0.003,"Wilson Ra",8,8
"Mackinnon E",0.0,"Mackinnon E",6,16
"Papineau D",0.0,"Papineau D",3,16
"Finch Ha",0.0,"Finch Ha",1,6
"Brown Mj",0.0,"Brown Mj",1,9
"Brown Jr",0.0,"Brown Jr",4,3
"Bogen J",0.0,"Bogen J",4,11
"Butterfield J",0.0,"Butterfield J",3,18
"Mulaik Sa",0.004,"Mulaik Sa",3,1
"Weingard R",0.0,"Weingard R",2,61
"Shapiro La",0.0,"Shapiro La",2,11
"Mikkelson Gm",0.0,"Mikkelson Gm",3,8
"Healey Ra",0.0,"Healey Ra",1,22
"Myers Cm",0.0,"Myers Cm",1,23
"Jackson F",0.002,"Jackson F",8,7
"Freistadt H",0.0,"Freistadt H",1,24
"Hardcastle Vg",0.0,"Hardcastle Vg",4,11
"Wheatley Jmo",0.0,"Wheatley Jmo",3,25
"Rescher N",0.01,"Rescher N",10,6
"Cupples B",0.001,"Cupples B",4,4
"Crasnow Sl",0.0,"Crasnow Sl",1,26
"Snyder Lj",0.002,"Snyder Lj",2,16
"Bub J",0.0,"Bub J",1,27
"Clarke Cjs",0.0,"Clarke Cjs",1,28
"Smeenk C",0.0,"Smeenk C",1,14
"Sullivan Ja",0.0,"Sullivan Ja",1,8
"Amundson R",0.001,"Amundson R",9,26
"Northcott R",0.0,"Northcott R",2,26
"Gutting G",0.0,"Gutting G",1,29
"Mccall S",0.0,"Mccall S",1,16
"Cassidy J",0.0,"Cassidy J",3,8
"Beauregard La",0.0,"Beauregard La",2,7
"Stufflebeam Rs",0.0,"Stufflebeam Rs",1,30
"Mccarthy T",0.0,"Mccarthy T",1,4
"Schroederheister P",0.0,"Schroederheister P",1,31
"Douglas He",0.0,"Douglas He",3,11
"Shraderfrechette K",0.0,"Shraderfrechette K",2,16
"Mormann T",0.0,"Mormann T",1,3
"Torretti R",0.0,"Torretti R",1,7
"Glennan Ss",0.0,"Glennan Ss",3,7
"Butler K",0.0,"Butler K",1,0
"Hull Dl",0.008,"Hull Dl",49,8
"Fumerton Ra",0.0,"Fumerton Ra",1,16
"Vanderschraaf P",0.0,"Vanderschraaf P",1,6
"Hattiangjn",0.0,"Hattiangjn",1,32
"Vanfraassen Bc",0.002,"Vanfraassen Bc",5,6
"Chemero A",0.0,"Chemero A",5,11
"Goodman N",0.0,"Goodman N",2,4
"Hemmo M",0.001,"Hemmo M",3,3
"Van Fraassen Bc",0.001,"Van Fraassen Bc",3,14
"Reisch Ga",0.004,"Reisch Ga",2,4
"Vollmer Sh",0.0,"Vollmer Sh",1,34
"Klee Rl",0.0,"Klee Rl",3,3
"Strevens M",0.0,"Strevens M",1,8
"Kincaid H",0.006,"Kincaid H",9,11
"Martin Rm",0.0,"Martin Rm",1,35
"Bouchard F",0.0,"Bouchard F",1,8
"Pearce D",0.0,"Pearce D",1,36
"Barnette Rl",0.0,"Barnette Rl",3,37
"Hardin Cl",0.001,"Hardin Cl",10,16
"Spencer Q",0.0,"Spencer Q",1,8
"Zangari M",0.0,"Zangari M",1,88
"Shimony A",0.0,"Shimony A",1,6
"Allen C",0.0,"Allen C",1,0
"Belousek Dw",0.0,"Belousek Dw",1,38
"Huttemann A",0.0,"Huttemann A",1,3
"Niiniluoto I",0.001,"Niiniluoto I",3,16
"Kennedy Jb",0.0,"Kennedy Jb",1,3
"Fleming Gn",0.0,"Fleming Gn",2,39
"Balashov Y",0.0,"Balashov Y",1,77
"Brody Ba",0.002,"Brody Ba",4,4
"Goosens Wk",0.0,"Goosens Wk",2,8
"Batterman Rw",0.013,"Batterman Rw",12,3
"Stamos Dn",0.0,"Stamos Dn",5,26
"Andersen H",0.0,"Andersen H",3,4
"Wheeler Gr",0.0,"Wheeler Gr",1,6
"Chen X",0.0,"Chen X",2,16
"Rosenkrantz Rd",0.0,"Rosenkrantz Rd",1,6
"Hodge Mjs",0.0,"Hodge Mjs",1,40
"Hands Dw",0.0,"Hands Dw",2,41
"Carlson R",0.0,"Carlson R",1,42
"Michalos Ac",0.0,"Michalos Ac",3,43
"Cummins R",0.0,"Cummins R",2,11
"Holsinger Ke",0.0,"Holsinger Ke",4,8
"Rietdijk Cw",0.0,"Rietdijk Cw",10,7
"Buck Rc",0.0,"Buck Rc",6,7
"Shafer G",0.0,"Shafer G",1,6
"Belot G",0.003,"Belot G",7,3
"Gibbins P",0.0,"Gibbins P",2,27
"Dupre J",0.0,"Dupre J",1,1
"Glymour C",0.014,"Glymour C",26,14
"Recker Da",0.001,"Recker Da",3,8
"Humphreys Wc",0.0,"Humphreys Wc",2,7
"Stidd Bm",0.0,"Stidd Bm",1,9
