,abs_deviation,count,rank,year
0,12,22,101,1900
1,12,29,97,1901
2,-10,10,117,1902
3,-3,17,110,1903
4,3,20,104,1904
5,14,31,95,1905
6,-7,13,114,1906
7,-3,17,111,1907
8,0,20,105,1908
9,3,23,100,1909
10,0,20,106,1910
11,-2,18,109,1911
12,12,32,93,1912
13,0,20,107,1913
14,1,21,103,1914
15,-5,15,113,1915
16,0,17,112,1916
17,24,39,86,1917
18,-5,12,115,1918
19,-11,11,116,1919
20,9,31,96,1920
21,-9,22,102,1921
22,6,38,90,1922
23,8,40,85,1923
24,-6,32,94,1924
25,-21,19,108,1925
26,200,237,60,1926
27,32,76,72,1927
28,-7,37,91,1928
29,5,44,81,1929
30,-14,25,99,1930
31,0,39,87,1931
32,5,44,82,1932
33,-5,39,88,1933
34,118,174,67,1934
35,0,56,77,1935
36,0,58,76,1936
37,-19,39,89,1937
38,18,76,73,1938
39,17,61,75,1939
40,-8,44,83,1940
41,-15,29,98,1941
42,8,52,78,1942
43,-15,37,92,1943
44,0,52,79,1944
45,14,63,74,1945
46,-11,41,84,1946
47,-14,49,80,1947
48,113,214,63,1948
49,38,222,62,1949
50,-83,101,69,1950
51,0,184,66,1951
52,-45,96,70,1952
53,16,200,64,1953
54,-58,141,68,1954
55,95,295,57,1955
56,-45,199,65,1956
57,64,308,56,1957
58,0,244,59,1958
59,-62,228,61,1959
60,25,315,55,1960
61,-25,290,58,1961
62,0,465,54,1962
63,357,834,47,1963
64,-158,477,53,1964
65,0,780,50,1965
66,-145,635,52,1966
67,4,784,49,1967
68,59,843,46,1968
69,-92,739,51,1969
70,27,870,45,1970
71,-39,831,48,1971
72,89,1193,42,1972
73,343,1536,40,1973
74,-206,1104,43,1974
75,-226,1310,41,1975
76,0,1584,39,1976
77,121,1772,37,1977
78,-121,1651,38,1978
79,369,2231,32,1979
80,-189,1862,36,1980
81,-159,2051,35,1981
82,1,2210,33,1982
83,389,2599,28,1983
84,-338,2209,34,1984
85,0,2547,29,1985
86,585,3132,27,1986
87,-657,2475,30,1987
88,0,3205,26,1988
89,0,3308,25,1989
90,212,3938,23,1990
91,-212,3726,24,1991
92,137,4107,21,1992
93,-137,3970,22,1993
94,0,4800,19,1994
95,0,5158,18,1995
96,0,5970,17,1996
97,0,6787,16,1997
98,0,7945,14,1998
99,0,8157,13,1999
100,59,9226,10,2000
101,-59,9167,11,2001
102,0,10195,9,2002
103,0,10502,7,2003
104,0,10540,6,2004
105,398,11891,1,2005
106,334,11874,2,2006
107,-47,11493,4,2007
108,47,11540,3,2008
109,0,10713,5,2009
110,0,10321,8,2010
111,0,8999,12,2011
112,0,6829,15,2012
113,0,4692,20,2013
114,0,2431,31,2014
115,0,960,44,2015
116,0,79,71,2016
